----- SERVER 1-----
getNumberOfCountries_9_39464 120
getNumberOfCountries_11_38329 110
getNumberOfCountries_30_97993 32
getNumberOfCountries_15_27133 110
getNumberOfCountries_6_18359 155
getNumberOfCountries_9_20041 142
getNumberOfCountries_21_97197 44
getNumberOfCountries_5_14663_35188 145
getNumberOfCountries_33_88439_92526 1
getNumberOfCountries_49_41573_139699 31
getNumberOfCountries_2_89256_125496 95
getNumberOfCountries_15_100624_105608 4
getNumberOfCountries_12_67326_122199 45
getNumberOfCountries_13_66650_90646 30
getNumberOfCountries_44_88354_173708 13
getNumberOfCountries_16_49814_54954 12
getNumberOfCountries_47_62906_67815 3
getNumberOfCountries_42_89927_170738 12
getNumberOfCountries_48_98780_169056 9
getNumberOfCountries_22_70753_108868 24
getNumberOfCountries_21_54784_68682 18
getNumberOfCountries_39_56505_109743 24
getNumberOfCountries_7_70104_91188 41
getNumberOfCountries_35_45362_131878 37
getNumberOfCountries_10_101972_109474 8
getNumberOfCountries_6_63850_127543 82
getNumberOfCountries_25_43668_90273 41
getNumberOfCountries_12_42565_78536 60
getNumberOfCountries_11_66462_91682 38
getNumberOfCountries_32_82813_145804 16
getNumberOfCountries_10_87644_137928 37
getNumberOfCountries_6_99585_110354 15
getNumberOfCountries_48_55480_151304 25
getNumberOfCountries_39_106817_193172 10
getNumberOfCountries_32_20756_64380 62
getNumberOfCountries_49_17790_97071 55
getNumberOfCountries_5_107883_127371 28
getNumberOfCountries_48_99433_169495 9
getNumberOfCountries_36_57695_89491 19
getNumberOfCountries_1_106937_169856 136
getNumberOfCountries_14_28976_126531 97
getNumberOfCountries_24_31922_109554 65
getNumberOfCountries_19_52913_75106 31
getNumberOfCountries_15_58267_68624 19
getNumberOfCountries_1_17711_33148 189
getNumberOfCountries_33_68880_137358 23
getNumberOfCountries_10_85243_157991 45
getNumberOfCountries_3_83684_164133 107
getNumberOfCountries_28_20820_34240 45
getNumberOfCountries_49_98381_130965 5
getNumberOfCountries_3_54830_134612 131
getNumberOfCountries_44_100881_126359 5
getNumberOfCountries_30_92706_154529 17
getNumberOfCountries_39_44400_111104 31
getNumberOfCountries_6_47094_98877 98
getNumberOfCountries_43_36618_98684 34
getNumberOfCountries_23_67422_109273 27
getNumberOfCountries_47_61553_117914 17
getNumberOfCountries_15_82322_118574 26
getNumberOfCountries_14_73523_133334 36
getNumberOfCountries_10_109627_176988 32
getNumberOfCountries_26_16860_22582 29
getNumberOfCountries_2_13911_78055 185
getNumberOfCountries_10_67003_148530 63
getNumberOfCountries_41_78778_128624 14
getNumberOfCountries_2_102169_113946 54
getNumberOfCountries_37_21628_65386 52
getNumberOfCountries_23_23978_76818 75
getNumberOfCountries_23_67442_93202 21
getNumberOfCountries_6_28331_123609 136
getNumberOfCountries_23_52690_77231 28
getNumberOfCountries_28_77692_135977 22
getNumberOfCountries_50_17109_99640 56
getNumberOfCountries_25_14765_64957 91
getNumberOfCountries_14_20801_88887 102
getNumberOfCountries_38_92572_183586 13
getNumberOfCountries_23_92911_105111 6
getNumberOfCountries_39_81939_118708 10
getNumberOfCountries_35_109922_175204 11
getNumberOfCountries_26_37174_129954 55
getNumberOfCountries_49_67113_153971 19
getNumberOfCountries_9_67091_141954 66
getNumberOfCountries_50_39869_96641 28
getNumberOfCountries_32_22459_45597 47
getNumberOfCountries_3_63964_148390 127
getNumberOfCountries_41_103128_193725 10
getNumberOfCountries_26_43443_124507 45
getNumberOfCountries_8_37372_92268 101
getNumberOfCountries_33_85704_127085 14
getNumberOfCountries_17_46679_57687 25
getNumberOfCountries_47_97891_107834 1
getNumberOfCountries_38_61835_110191 21
getNumberOfCountries_29_59657_154642 32
getNumberOfCountries_36_107819_178070 11
getNumberOfCountries_33_100165_133531 8
getNumberOfCountries_8_107067_126841 20
getNumberOfCountries_19_82216_126019 24
getNumberOfCountries_38_63899_143224 24
getNumberOfCountries_38_40323_71382 26
getNumberOfCountries_47_16112_16580 1
getNumberOfCountries_23_86991_142922 23
getNumberOfCountries_1_34850_104083 183
getNumberOfCountries_32_68523_163219 29
getNumberOfCountries_40_59399_105732 20
getNumberOfCountries_47_70908_89920 6
getNumberOfCountries_9_29156_73705 101
----- SERVER 5-----
getNumberOfCountries_19_100557 45
getNumberOfCountries_22_31441 83
getNumberOfCountries_19_41444 79
getNumberOfCountries_6_49920 126
getNumberOfCountries_9_43449 114
getNumberOfCountries_29_58590 47
getNumberOfCountries_23_87693 43
getNumberOfCountries_26_34677 72
getNumberOfCountries_25_67747 45
getNumberOfCountries_16_71391 63
getNumberOfCountries_14_105518 54
getNumberOfCountries_13_26803 121
getNumberOfCountries_3_48699 147
getNumberOfCountries_6_80337 102
getNumberOfCountries_6_68769 115
getNumberOfCountries_22_81507 44
getNumberOfCountries_1_46924 185
getNumberOfCountries_20_21569 106
getNumberOfCountries_22_16023 112
getNumberOfCountries_3_19755 169
getNumberOfCountries_3_106996 121
getNumberOfCountries_18_79560 51
getNumberOfCountries_11_27963 128
getNumberOfCountries_24_62786 50
getNumberOfCountries_1_107570 169
getNumberOfCountries_30_57671 45
getNumberOfCountries_6_86323 99
getNumberOfCountries_7_28447 139
getNumberOfCountries_27_60251 47
getNumberOfCountries_30_96371 32
getNumberOfCountries_21_34389 81
getNumberOfCountries_1_82345 174
getNumberOfCountries_8_93933 85
getNumberOfCountries_9_49660 108
getNumberOfCountries_25_68442 45
getNumberOfCountries_29_108781 31
getNumberOfCountries_21_88840 45
getNumberOfCountries_1_62546 179
getNumberOfCountries_4_109208 112
getNumberOfCountries_16_81582 55
getNumberOfCountries_7_54110 117
getNumberOfCountries_19_93979 46
getNumberOfCountries_12_51307 92
getNumberOfCountries_9_10910 160
getNumberOfCountries_30_45719 55
getNumberOfCountries_2_72930 153
getNumberOfCountries_24_81062 43
getNumberOfCountries_23_89658 43
getNumberOfCountries_14_95492 56
getNumberOfCountries_15_14519 133
getNumberOfCountries_15_108157 52
getNumberOfCountries_11_68526 83
getNumberOfCountries_1_106886 169
getNumberOfCountries_21_70550 51
getNumberOfCountries_20_20688 109
getNumberOfCountries_6_83321 99
getNumberOfCountries_28_106697 31
getNumberOfCountries_26_21114 86
getNumberOfCountries_15_22339_55768 88
getNumberOfCountries_49_31299_105419 35
getNumberOfCountries_46_87407_110883 5
getNumberOfCountries_1_102817_145128 129
getNumberOfCountries_8_104399_135525 28
getNumberOfCountries_5_38708_112807 129
getNumberOfCountries_49_105790_185319 8
getNumberOfCountries_18_19128_35473 65
getNumberOfCountries_2_36729_131892 157
getNumberOfCountries_41_86829_146292 11
getNumberOfCountries_30_16493_39196 56
getNumberOfCountries_3_75226_128618 103
getNumberOfCountries_20_103540_121751 7
getNumberOfCountries_20_34746_114293 68
getNumberOfCountries_29_30661_100057 58
getNumberOfCountries_47_97462_138827 7
getNumberOfCountries_9_92480_130709 33
getNumberOfCountries_8_35647_119081 113
getNumberOfCountries_45_56038_64909 6
getNumberOfCountries_17_93981_183697 27
getNumberOfCountries_28_53562_148397 39
getNumberOfCountries_13_76021_91010 20
getNumberOfCountries_38_55337_134664 30
getNumberOfCountries_16_71868_87392 19
getNumberOfCountries_2_81715_142297 119
getNumberOfCountries_31_53061_61603 8
getNumberOfCountries_4_19171_102803 158
getNumberOfCountries_9_39319_129341 100
getNumberOfCountries_43_76668_135247 14
getNumberOfCountries_46_50634_112251 24
getNumberOfCountries_36_67800_107996 17
getNumberOfCountries_50_11252_97964 73
getNumberOfCountries_40_64813_128015 21
getNumberOfCountries_14_85553_168837 36
getNumberOfCountries_24_13858_44513 86
getNumberOfCountries_45_58980_81344 11
getNumberOfCountries_11_78769_114667 34
